2025-05-07 11:00:00.162 [] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  NetworkClient - [Consumer clientId=consumer-rate-os-1, groupId=rate-os] Node 1 disconnected.
2025-05-07 11:00:00.162 [] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  NetworkClient - [Consumer clientId=consumer-rate-os-1, groupId=rate-os] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-05-07 11:00:00.806 [] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  NetworkClient - [Consumer clientId=consumer-rate-os-2, groupId=rate-os] Node 1 disconnected.
2025-05-07 11:00:00.807 [] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  NetworkClient - [Consumer clientId=consumer-rate-os-2, groupId=rate-os] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-05-07 11:00:01.014 [] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  NetworkClient - [Consumer clientId=consumer-rate-os-1, groupId=rate-os] Node 1 disconnected.
2025-05-07 11:00:01.015 [] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  NetworkClient - [Consumer clientId=consumer-rate-os-1, groupId=rate-os] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-05-07 11:00:01.807 [] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  NetworkClient - [Consumer clientId=consumer-rate-os-2, groupId=rate-os] Node 1 disconnected.
2025-05-07 11:00:01.807 [] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  NetworkClient - [Consumer clientId=consumer-rate-os-2, groupId=rate-os] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-05-07 11:00:02.017 [] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  NetworkClient - [Consumer clientId=consumer-rate-os-1, groupId=rate-os] Node 1 disconnected.
2025-05-07 11:00:02.017 [] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  NetworkClient - [Consumer clientId=consumer-rate-os-1, groupId=rate-os] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-05-07 11:00:02.709 [] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  NetworkClient - [Consumer clientId=consumer-rate-os-2, groupId=rate-os] Node 1 disconnected.
2025-05-07 11:00:02.710 [] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  NetworkClient - [Consumer clientId=consumer-rate-os-2, groupId=rate-os] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-05-07 11:00:02.915 [] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  NetworkClient - [Consumer clientId=consumer-rate-os-1, groupId=rate-os] Node 1 disconnected.
2025-05-07 11:00:02.915 [] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  NetworkClient - [Consumer clientId=consumer-rate-os-1, groupId=rate-os] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-05-07 11:00:03.663 [] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  NetworkClient - [Consumer clientId=consumer-rate-os-2, groupId=rate-os] Node 1 disconnected.
2025-05-07 11:00:03.663 [] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  NetworkClient - [Consumer clientId=consumer-rate-os-2, groupId=rate-os] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-05-07 11:00:03.918 [] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  NetworkClient - [Consumer clientId=consumer-rate-os-1, groupId=rate-os] Node 1 disconnected.
2025-05-07 11:00:03.919 [] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  NetworkClient - [Consumer clientId=consumer-rate-os-1, groupId=rate-os] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-05-07 11:00:04.634 [] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  NetworkClient - [Consumer clientId=consumer-rate-os-2, groupId=rate-os] Node 1 disconnected.
2025-05-07 11:00:04.634 [] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  NetworkClient - [Consumer clientId=consumer-rate-os-2, groupId=rate-os] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-05-07 11:00:04.843 [] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  NetworkClient - [Consumer clientId=consumer-rate-os-1, groupId=rate-os] Node 1 disconnected.
2025-05-07 11:00:04.844 [] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  NetworkClient - [Consumer clientId=consumer-rate-os-1, groupId=rate-os] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-05-07 11:00:05.497 [] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  NetworkClient - [Consumer clientId=consumer-rate-os-2, groupId=rate-os] Node 1 disconnected.
2025-05-07 11:00:05.497 [] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  NetworkClient - [Consumer clientId=consumer-rate-os-2, groupId=rate-os] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-05-07 11:00:05.696 [] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  NetworkClient - [Consumer clientId=consumer-rate-os-1, groupId=rate-os] Node 1 disconnected.
2025-05-07 11:00:05.696 [] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  NetworkClient - [Consumer clientId=consumer-rate-os-1, groupId=rate-os] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-05-07 11:00:06.450 [] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  NetworkClient - [Consumer clientId=consumer-rate-os-2, groupId=rate-os] Node 1 disconnected.
2025-05-07 11:00:06.450 [] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  NetworkClient - [Consumer clientId=consumer-rate-os-2, groupId=rate-os] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-05-07 11:00:06.739 [] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  NetworkClient - [Consumer clientId=consumer-rate-os-1, groupId=rate-os] Node 1 disconnected.
2025-05-07 11:00:06.739 [] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  NetworkClient - [Consumer clientId=consumer-rate-os-1, groupId=rate-os] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-05-07 11:00:07.403 [] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  NetworkClient - [Consumer clientId=consumer-rate-os-2, groupId=rate-os] Node 1 disconnected.
2025-05-07 11:00:07.403 [] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  NetworkClient - [Consumer clientId=consumer-rate-os-2, groupId=rate-os] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2025-05-07 11:00:07.743 [] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  NetworkClient - [Consumer clientId=consumer-rate-os-1, groupId=rate-os] Node 1 disconnected.
2025-05-07 11:00:07.743 [] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  NetworkClient - [Consumer clientId=consumer-rate-os-1, groupId=rate-os] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
